order_id,customer_id,vendor_id,ship_mode,order_status,order_purchase_date,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
CA-2017-138422,EH-13945,VEN02,First Class,delivered,02/21/2018 06:20,02/21/2018 07:15,02/21/2018 22:42,02/24/2018 16:55,03/07/2018 00:00
CA-2014-103660,MG-17680,VEN03,Standard Class,delivered,06/15/2017 13:17,06/17/2017 03:45,06/20/2017 10:54,06/23/2017 13:14,07/10/2017 00:00
CA-2016-113292,LC-16870,VEN01,Second Class,delivered,05/03/2017 21:20,05/03/2017 21:30,05/15/2017 07:13,05/18/2017 14:03,05/26/2017 00:00
US-2016-114293,BM-11785,VEN04,Standard Class,delivered,08/02/2018 18:09,08/02/2018 18:43,08/10/2018 15:46,08/17/2018 16:18,08/21/2018 00:00
CA-2014-149104,SP-20860,VEN02,Second Class,delivered,05/27/2017 17:37,05/30/2017 04:25,05/31/2017 03:13,06/05/2017 17:27,06/19/2017 00:00
US-2014-112795,JO-15280,VEN02,Second Class,delivered,07/17/2017 16:18,07/17/2017 16:35,07/24/2017 17:39,07/31/2017 21:10,08/11/2017 00:00
CA-2014-106971,DP-13000,VEN02,Standard Class,delivered,06/19/2018 19:15,06/20/2018 03:18,06/23/2018 08:31,06/27/2018 14:11,08/02/2018 00:00
CA-2017-117114,KL-16645,VEN04,Standard Class,delivered,12/21/2017 22:44,12/21/2017 22:53,12/22/2017 18:12,01/16/2018 16:03,01/24/2018 00:00
CA-2017-127712,KB-16240,VEN01,Standard Class,delivered,02/18/2018 16:34,02/20/2018 07:27,02/20/2018 19:04,02/28/2018 20:16,03/13/2018 00:00
CA-2014-126403,VD-21670,VEN04,Second Class,delivered,02/19/2018 21:22,02/19/2018 22:27,02/20/2018 22:19,02/27/2018 00:06,03/15/2018 00:00
CA-2017-110310,MO-17800,VEN02,Standard Class,delivered,02/28/2018 18:31,02/28/2018 18:48,03/02/2018 20:49,03/20/2018 01:32,03/21/2018 00:00
CA-2014-164315,SN-20710,VEN02,Standard Class,delivered,01/04/2018 13:23,01/04/2018 13:34,01/10/2018 17:22,01/18/2018 18:09,02/01/2018 00:00
CA-2017-152583,SC-20770,VEN02,Same Day,delivered,06/26/2018 22:40,06/27/2018 08:12,07/03/2018 14:01,07/06/2018 20:26,07/26/2018 00:00
CA-2017-104647,JE-15475,VEN02,Standard Class,delivered,02/23/2018 14:15,02/23/2018 14:50,03/09/2018 02:38,03/23/2018 17:17,03/20/2018 00:00
CA-2014-109904,DB-13060,VEN03,Second Class,delivered,05/03/2018 16:43,05/03/2018 17:31,05/04/2018 15:04,05/05/2018 14:21,05/15/2018 00:00
CA-2015-103716,DJ-13630,VEN02,Standard Class,delivered,11/26/2017 15:51,11/26/2017 17:16,11/27/2017 18:14,11/30/2017 01:14,12/11/2017 00:00
CA-2014-109302,KB-16315,VEN02,Standard Class,delivered,09/30/2017 18:38,09/30/2017 18:57,10/02/2017 21:53,10/09/2017 12:29,11/07/2017 00:00
CA-2014-147900,BV-11245,VEN01,Standard Class,delivered,08/05/2018 17:11,08/05/2018 17:31,08/07/2018 14:44,09/25/2018 00:47,08/20/2018 00:00
CA-2014-103527,GM-14440,VEN02,Second Class,delivered,03/14/2018 09:25,03/14/2018 10:00,03/14/2018 19:36,03/27/2018 19:25,04/05/2018 00:00
CA-2017-150987,BB-11545,VEN02,Standard Class,canceled,12/03/2017 11:32,,,,12/26/2017 00:00
CA-2014-152618,SF-20965,VEN02,First Class,delivered,01/20/2017 19:18,01/24/2017 03:45,01/24/2017 15:02,01/30/2017 11:51,02/28/2017 00:00
CA-2016-112277,AH-10210,VEN02,Standard Class,delivered,08/07/2017 09:56,08/07/2017 10:05,08/09/2017 15:30,08/25/2017 17:31,08/29/2017 00:00
CA-2016-147536,BV-11245,VEN03,Standard Class,delivered,03/25/2017 09:45,03/25/2017 09:55,03/27/2017 13:45,04/03/2017 15:43,04/27/2017 00:00
US-2014-112200,DB-13210,VEN02,Standard Class,invoiced,11/28/2017 14:39,11/28/2017 15:06,,,01/03/2018 00:00
